rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_teff,st_mass,st_rad,rowupdate
1,11 Com,b,Radial Velocity,1,326.03000000,1.290000,0.231000,19.40000,110.62,4742.00,2.70,19.00,2014-05-14
2,11 UMi,b,Radial Velocity,1,516.22000000,1.540000,0.080000,10.50000,119.47,4340.00,1.80,24.08,2014-05-14
3,14 And,b,Radial Velocity,1,185.84000000,0.830000,0.000000,4.80000,76.39,4813.00,2.20,11.00,2014-05-14
4,14 Her,b,Radial Velocity,1,1773.40000000,2.770000,0.369000,4.64000,18.15,5311.00,0.90,,2014-05-14
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.681000,0.681000,1.68000,21.41,5674.00,0.99,,2015-09-10
6,18 Del,b,Radial Velocity,1,993.30000000,2.600000,0.080000,10.30000,73.10,4979.00,2.30,8.50,2014-05-14
7,1RXS J160929.1-210524,b,Imaging,1,,330.000000,,8.00000,145.00,4060.00,0.85,,2015-04-01
8,24 Sex,b,Radial Velocity,2,452.80000000,1.333000,0.090000,1.99000,74.79,5098.00,1.54,4.90,2014-05-14
9,24 Sex,c,Radial Velocity,2,883.00000000,2.080000,0.290000,0.86000,74.79,5098.00,1.54,4.90,2014-05-14
10,2MASS J01225093-2439505,b,Imaging,1,,52.000000,,24.50000,36.00,3530.00,0.40,,2014-05-14
11,2MASS J02192210-3925225,b,Imaging,1,,156.000000,,13.90000,39.40,3064.00,0.11,0.28,2015-05-14
12,2MASS J04414489+2301513,b,Imaging,1,,15.000000,,7.50000,140.00,,0.02,,2014-05-14
13,2MASS J12073346-3932539,b,Imaging,1,,46.000000,,4.00000,52.40,,0.02,,2014-05-14
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,0.920000,,1.90000,,,0.48,,2015-06-04
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,,0.260000,20.95000,25.00,2300.00,0.08,0.12,2014-05-14
16,30 Ari B,b,Radial Velocity,1,335.10000000,0.995000,0.289000,9.88000,39.43,6300.00,1.16,1.13,2014-05-14
17,4 UMa,b,Radial Velocity,1,269.30000000,0.870000,0.432000,7.10000,77.40,4415.00,1.23,18.11,2014-05-14
18,42 Dra,b,Radial Velocity,1,479.10000000,1.190000,0.380000,3.88000,97.28,4200.00,0.98,22.03,2014-05-14
19,47 UMa,b,Radial Velocity,3,1078.00000000,2.100000,0.032000,2.53000,14.08,5892.00,1.03,1.23,2014-05-14
20,47 UMa,c,Radial Velocity,3,2391.00000000,3.600000,0.098000,0.54000,14.08,5892.00,1.03,1.23,2014-05-14
21,47 UMa,d,Radial Velocity,3,14002.00000000,11.600000,0.160000,1.64000,14.08,5892.00,1.03,1.23,2014-05-14
22,51 Eri,b,Imaging,1,,13.200000,,2.00000,29.40,,1.75,,2015-08-14
23,51 Peg,b,Radial Velocity,1,4.23078500,0.052700,0.013000,0.47200,15.36,5793.00,1.12,1.20,2014-05-14
24,55 Cnc,b,Radial Velocity,5,14.65152000,0.115227,0.003400,0.83060,12.53,5196.00,0.91,0.94,2014-10-29
25,55 Cnc,c,Radial Velocity,5,44.41750000,0.241376,0.020000,0.17140,12.53,5196.00,0.91,0.94,2014-10-29
26,55 Cnc,d,Radial Velocity,5,4825.00000000,5.503000,0.019000,3.87800,12.53,5196.00,0.91,0.94,2014-10-29
27,55 Cnc,e,Radial Velocity,5,,0.015440,,0.02542,12.53,5196.00,0.91,0.94,2016-01-21
28,55 Cnc,f,Radial Velocity,5,262.00000000,0.788000,0.305000,0.14100,12.53,5196.00,0.91,0.94,2014-10-29
29,6 Lyn,b,Radial Velocity,1,874.77400000,2.180000,0.125000,2.21000,56.95,4978.00,1.70,5.20,2015-09-03
30,61 Vir,b,Radial Velocity,3,4.21500000,0.050201,0.120000,0.01600,8.52,5577.00,0.94,0.96,2014-05-14
31,61 Vir,c,Radial Velocity,3,38.02100000,0.217500,0.140000,0.05700,8.52,5577.00,0.94,0.96,2014-05-14
32,61 Vir,d,Radial Velocity,3,123.01000000,0.476000,0.350000,0.07200,8.52,5577.00,0.94,0.96,2014-05-14
33,7 CMa,b,Radial Velocity,1,796.00000000,1.930000,0.220000,2.46000,19.84,4792.00,1.52,2.30,2015-10-22
34,70 Vir,b,Radial Velocity,1,116.69260000,0.481000,0.399000,7.40000,18.11,5439.00,1.09,1.94,2015-04-24
35,75 Cet,b,Radial Velocity,1,691.90000000,2.100000,0.117000,3.00000,81.50,4846.00,2.49,10.50,2015-09-03
36,8 UMi,b,Radial Velocity,1,93.40000000,0.490000,0.060000,1.50000,159.10,4847.40,1.80,9.90,2015-10-15
37,81 Cet,b,Radial Velocity,1,952.70000000,2.500000,0.206000,5.30000,97.18,4785.00,2.40,11.00,2014-05-14
38,91 Aqr,b,Radial Velocity,1,181.40000000,0.700000,0.027000,3.20000,45.52,4665.00,1.40,11.00,2014-05-14
39,AB Pic,b,Imaging,1,,260.000000,,13.50000,45.52,,,,2014-05-14
40,BD+14 4559,b,Radial Velocity,1,268.94000000,0.777000,0.290000,1.47000,50.03,5008.00,0.86,0.95,2014-05-14
